HTML
<p><strong>Enter Your Name</strong></p>,,short,
<p><strong>Enter Your Mobile Number?</strong></p>,,short,<p>Type explanation here...</p>
POOL,80
"<p><span style=""font-size: 18px;""><strong>একটি p-n জাংশনের বিভবাস্তব 2.2V থেকে বাড়িয়ে 2.4V করা হলো। এতে তড়িৎ প্রবাহ 400mAথেকে 800mA হলে গতীয় রোধ কত?</strong></span></p>",1,one,
*,<p>0.5Ω</p>
,<p>0.2Ω</p>
,<p>400mA</p>
,<p>কোনোটিই নয়</p>
"<p><span style=""font-size: 18px;""><strong>একটি তড়িৎ ক্ষেত্রের দুইটি বিন্দু A এবং B এর মধ্যে 10V বিভব পার্থক্য বিদ্যমান। কি পরিমাণ চার্জকে A থেকে B বিন্দুতে সরাতে 5×10<sup>-2</sup>J কাজ করতে হবে?</strong></span></p>",1,one,
,<p>5×10<sup>-1</sup>C</p>
,<p>11<sup>-2</sup>C</p>
*,<p>5×10<sup>-3</sup>C</p>
,<p>10<sup>-5</sup>C</p>
"<p><span style=""font-size: 18px;""><strong>100Ω রোধের একটি গ্যালভানোমিটার সর্বোচ্চ 10 mA তড়িৎ নিরাপদে গ্রহণ করতে পারে। কি ব্যবস্থা গ্রহণ করলে এর দ্বারা 10A প্রবাহ মাপা যাবে?</strong></span></p>",1,one,
,<p>1.1Ω</p>
,<p>1.0Ω</p>
*,<p>0.1Ω</p>
,<p>2.1Ω</p>
"<p><span style=""font-size: 18px;""><strong>আপতিত আলোর তরঙ্গদৈর্ঘ্য 6000Å হলে আপতিত আলোর শক্তি কত?</strong></span></p>",1,one,
,<p>2.08eV</p>
,<p>2.09 eV</p>
*,<p>2.07 ev</p>
,<p>2.05 ev</p>
"<p><span style=""font-size: 18px;""><strong>নীচের বর্তনীতে A এবং B বিন্দুর মাঝে বিভব পার্থক্য কত?<img class=""fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2022-06-18/518feebc-342f-4302-8f3d-beefe5868078-Screenshot-20220618-163836-Drive.jpg"" style=""width: 396px;""/></strong></span></p>",1,one,
,<p>100V</p>
,<p>0V</p>
*,<p>50V</p>
,<p>1000V</p>
"<p><span style=""font-size: 18px;""><strong>একটি তেজস্ক্রিয় পদার্থের অর্ধায়ু 10 দিন। কত দিনে ঐ পদার্থের 75% ক্ষয়প্রাপ্ত হবে?</strong></span></p>",1,one,
,<p>10 দিন</p>
,<p>15 দিন</p>
*,<p>20 দিন</p>
,<p>25 দিন</p>
"<p><span style=""font-size: 18px;""><strong>অর্ধপরিবাহী জার্মেনিয়ামের সাথে অ্যাস্টার্টিন সামান্য পরিমাণে মেশালে সৃষ্ট অর্ধ পরিবাহী হচ্ছে:</strong></span></p>",1,one,
,<p>p-টাইপ অর্ধপরিবাহী</p>
*,<p>n-টাইপ অর্ধ পরিবাহী</p>
,<p>p-n-p টাইপ </p>
,<p>কোনটিই নয়</p>
"<p><span style=""font-size: 18px;""><strong>একটি কোষের তড়িচ্চালক শক্তি 3v। এতে যখন 6 amp তড়িৎ প্রবাহিত হয়, তখন এর বিভব পার্থক্য হয় 2.2V। কোষের অভ্যন্তরীণ রোধ কত?</strong></span></p>",1,one,
,<p>0.04Ω</p>
,<p>0.30Ω</p>
,<p>0.24Ω</p>
*,<p>0.13Ω</p>
"<p><span style=""font-size: 18px;""><strong>15Ω ও 30Ω মানের শ্রেণীতে যুক্ত দুটি রোধের উৎপন্ন তাপের অনুপাত কত?</strong></span></p>",1,one,
,<p>2/3</p>
,<p>-1/2</p>
,<p>2/3</p>
*,<p>1/2</p>
"<p><span style=""font-size: 18px;""><strong>শ্রেণী এবং সমান্তরাল সমবায়ে সংযুক্ত দুটি তারের তুল্য রোধ যথাক্রমে 25Ω এবং 4Ω হলে তার দুটির নিজ নিজ রোধ কত?</strong></span></p>",1,one,
,<p>10Ω ও 5Ω</p>
*,<p>20Ω ও 5Ω</p>
,<p>20Ω ও 20Ω</p>
,<p>10Ω ও 25Ω</p>
"<p><span style=""font-size: 18px;""><strong>একটি পুকুরের তলদেশে অবস্থিত কোন মাছের দিকে খাড়াভাবে তাকালে মাছটির দূরত্ব 3m মনে হয়। পুকুরটির প্রকৃত গভীরতা কত?</strong></span></p>",1,one,
,<p>4.99m</p>
,<p>5.99m</p>
,<p>6.99m</p>
*,<p>3.99m</p>
"<p><span style=""font-size: 18px;""><strong>যে আলোর তরঙ্গদৈর্ঘ্য 0.1nm, তা হল-</strong></span></p>",1,one,
*,<p>X-ray</p>
,<p>y-ray</p>
,<p>UV</p>
,<p>Visible</p>
"<p><span style=""font-size: 18px;""><strong>10 m লম্বা একটি রকেট তোমার সামনে দিয়ে 0.5 c বেগে যাবার সময় তার দৈর্ঘ্য তোমার কাছে কত মনে হবে?</strong></span></p>",1,one,
,<p>5.0m</p>
*,<p>8.66m</p>
,<p>11.54m</p>
,<p>15m</p>
END
